station_id,name,language,valid_from,valid_to,name_type,source_id,notes
PL.STN.Czerwionka_Debiensko,Czerwionka Dębieńsko,ru,,,official,SRC.osm,
PL.STN.Czerwionka,Czerwionka,ru,,,official,SRC.osm,
PL.STN.Czerwionka,Червьонка,und,,,alt,SRC.osm,
PL.STN.Czerwionka,Червёнка,und,,,alt,SRC.osm,
PL.STN.Orzesze_Jaskowice,Orzesze Jaśkowice,ru,,,official,SRC.osm,
PL.STN.Orzesze_Jaskowice,Ожеше Яськовице,und,,,alt,SRC.osm,
PL.STN.Orzesze_Jaskowice,Ожеше Яськовіце,und,,,alt,SRC.osm,
PL.STN.Orzesze,Orzesze,ru,,,official,SRC.osm,
PL.STN.Orzesze,Orzesche,und,,,alt,SRC.osm,
PL.STN.Orzesze,Ожеше,und,,,alt,SRC.osm,
PL.STN.Laziska_Gorne_Brada,Łaziska Górne Brada,ru,,,official,SRC.osm,
PL.STN.Laziska_Gorne,Łaziska Górne,ru,,,official,SRC.osm,
PL.STN.Laziska_Gorne,Ober Lazisk,und,,,alt,SRC.osm,
PL.STN.Katowice_Zaleze,Katowice Załęże,ru,,,official,SRC.osm,
PL.STN.Katowice_Zaleze,Kattowitz Zalenze,und,,,alt,SRC.osm,
PL.STN.Roszkowo_Wagrowieckie,Roszkowo Wągrowieckie,ru,,,official,SRC.osm,
PL.STN.Przysieczyn,Przysieczyn,ru,,,official,SRC.osm,
PL.STN.Wagrowiec,Wągrowiec,ru,,,official,SRC.osm,
PL.STN.Wagrowiec,Wongrowitz,und,,,alt,SRC.osm,
PL.STN.Wagrowiec,Вонгровец,und,,,alt,SRC.osm,
PL.STN.Wagrowiec,Вонґров'єц,und,,,alt,SRC.osm,
PL.STN.Wagrowiec,翁格羅維茨,und,,,alt,SRC.osm,
PL.STN.Zloty_Stok,Złoty Stok,ru,,,official,SRC.osm,
PL.STN.Zloty_Stok,Злотий Сток,und,,,alt,SRC.osm,
PL.STN.Zloty_Stok,Злоты-Сток,und,,,alt,SRC.osm,
PL.STN.Poznan_Debiec,Poznań Dębiec,ru,,,official,SRC.osm,
PL.STN.Poznan_Debiec,Posen Dembsen,und,,,alt,SRC.osm,
PL.STN.Krosnowice_Klodzkie,Krosnowice Kłodzkie,ru,,,official,SRC.osm,
PL.STN.Olesnica_Rataje,Oleśnica Rataje,ru,,,official,SRC.osm,
PL.STN.Nowa_Wies_Wielka,Nowa Wieś Wielka,ru,,,official,SRC.osm,
PL.STN.Nowa_Wies_Wielka,Groß Neudorf,und,,,alt,SRC.osm,
PL.STN.Nowa_Wies_Wielka,Nowawieś Wielka,und,,,alt,SRC.osm,
PL.STN.Nowa_Wies_Wielka,Нова Весь Велька,und,,,alt,SRC.osm,
PL.STN.Orchowo,Orchowo,ru,,,official,SRC.osm,
PL.STN.Orchowo,Орхово,und,,,alt,SRC.osm,
PL.STN.Jedlina-Zdroj_Borowa,Jedlina-Zdrój Borowa,ru,,,official,SRC.osm,
PL.STN.Jedlina-Zdroj_Borowa,Jedlina Górna,und,,,alt,SRC.osm,
PL.STN.Pacholeta,Pacholęta,ru,,,official,SRC.osm,
PL.STN.Pacholeta,Pakulent,und,,,alt,SRC.osm,
PL.STN.Warszawa_Pludy,Warszawa Płudy,ru,,,official,SRC.osm,
PL.STN.Warszawa_Pludy,Варшава Плуди,und,,,alt,SRC.osm,
PL.STN.Warszawa_Pludy,Варшава Плуды,und,,,alt,SRC.osm,
PL.STN.Krzyz,Krzyż,ru,,,official,SRC.osm,
PL.STN.Krzyz,Kreuz,und,,,alt,SRC.osm,
PL.STN.Krzyz,Кжиж,und,,,alt,SRC.osm,
PL.STN.Boreczek,Boreczek,ru,,,official,SRC.osm,
PL.STN.Boreczek,Боречек,und,,,alt,SRC.osm,
PL.STN.Warkocz,Warkocz,ru,,,official,SRC.osm,
PL.STN.Bardo_Przylek,Bardo Przyłęk,ru,,,official,SRC.osm,
PL.STN.Bardo_Przylek,Бардо Пшиленк,und,,,alt,SRC.osm,
PL.STN.Bardo_Slaskie,Bardo Śląskie,ru,,,official,SRC.osm,
PL.STN.Bardo_Slaskie,Wartha,und,,,alt,SRC.osm,
PL.STN.Lawica,Ławica,ru,,,official,SRC.osm,
PL.STN.Domaszkow,Domaszków,ru,,,official,SRC.osm,
PL.STN.Domaszkow,Домашкув,und,,,alt,SRC.osm,
PL.STN.Roztoki_Bystrzyckie,Roztoki Bystrzyckie,ru,,,official,SRC.osm,
PL.STN.Gdansk_Nowy_Port,Gdańsk Nowy Port,ru,,,official,SRC.osm,
